id,book,unit_index,lesson_no,unit_title,lesson_title_en,audio_url,lrc_url,audio_85_url,lrc_85_url,video_collection_embed,video_collection_watch,video_lesson_embed,video_lesson_watch,video_note
1,NCE1,1,001-002,001&002.Excuse Me,Excuse Me,https://nce.mleo.site/NCE1/001%26002.Excuse%20Me.mp3,https://nce.mleo.site/NCE1/001%26002.Excuse%20Me.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_001.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_001.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '001 单词/语法/文章')
2,NCE1,2,003-004,"003&004.Sorry, Sir","Sorry, Sir",https://nce.mleo.site/NCE1/003%26004.Sorry%2C%20Sir.mp3,https://nce.mleo.site/NCE1/003%26004.Sorry%2C%20Sir.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '003 单词/语法/文章')
3,NCE1,3,005-006,005&006.Nice to Meet You,Nice to Meet You,https://nce.mleo.site/NCE1/005%26006.Nice%20to%20Meet%20You.mp3,https://nce.mleo.site/NCE1/005%26006.Nice%20to%20Meet%20You.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_003.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_003.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '005 单词/语法/文章')
4,NCE1,4,007-008,007&008.Are You a Teacher,Are You a Teacher,https://nce.mleo.site/NCE1/007%26008.Are%20You%20a%20Teacher.mp3,https://nce.mleo.site/NCE1/007%26008.Are%20You%20a%20Teacher.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '007 单词/语法/文章')
5,NCE1,5,009-010,009&010.How Are You Today,How Are You Today,https://nce.mleo.site/NCE1/009%26010.How%20Are%20You%20Today.mp3,https://nce.mleo.site/NCE1/009%26010.How%20Are%20You%20Today.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_005.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_005.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '009 单词/语法/文章')
6,NCE1,6,011-012,011&012.Is This Your Shirt,Is This Your Shirt,https://nce.mleo.site/NCE1/011%26012.Is%20This%20Your%20Shirt.mp3,https://nce.mleo.site/NCE1/011%26012.Is%20This%20Your%20Shirt.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '011 单词/语法/文章')
7,NCE1,7,013-014,013&014.A New Dress,A New Dress,https://nce.mleo.site/NCE1/013%26014.A%20New%20Dress.mp3,https://nce.mleo.site/NCE1/013%26014.A%20New%20Dress.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_007.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_007.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '013 单词/语法/文章')
8,NCE1,8,015-016,"015&016.Your Passports, Please","Your Passports, Please",https://nce.mleo.site/NCE1/015%26016.Your%20Passports%2C%20Please.mp3,https://nce.mleo.site/NCE1/015%26016.Your%20Passports%2C%20Please.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '015 单词/语法/文章')
9,NCE1,9,017-018,017&018.How do you do,How do you do,https://nce.mleo.site/NCE1/017%26018.How%20do%20you%20do.mp3,https://nce.mleo.site/NCE1/017%26018.How%20do%20you%20do.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_009.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_009.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '017 单词/语法/文章')
10,NCE1,10,019-020,019&020.Tired and Thirsty,Tired and Thirsty,https://nce.mleo.site/NCE1/019%26020.Tired%20and%20Thirsty.mp3,https://nce.mleo.site/NCE1/019%26020.Tired%20and%20Thirsty.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '019 单词/语法/文章')
11,NCE1,11,021-022,021&022.Which Book,Which Book,https://nce.mleo.site/NCE1/021%26022.Which%20Book.mp3,https://nce.mleo.site/NCE1/021%26022.Which%20Book.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_011.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_011.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '021 单词/语法/文章')
12,NCE1,12,023-024,023&024.Which Glasses,Which Glasses,https://nce.mleo.site/NCE1/023%26024.Which%20Glasses.mp3,https://nce.mleo.site/NCE1/023%26024.Which%20Glasses.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '023 单词/语法/文章')
13,NCE1,13,025-026,025&026.Mrs. Smith's Kitchen,Mrs. Smith's Kitchen,https://nce.mleo.site/NCE1/025%26026.Mrs.%20Smith%27s%20Kitchen.mp3,https://nce.mleo.site/NCE1/025%26026.Mrs.%20Smith%27s%20Kitchen.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_013.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_013.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '025 单词/语法/文章')
14,NCE1,14,027-028,027&028.Mrs. Smith's Living Room,Mrs. Smith's Living Room,https://nce.mleo.site/NCE1/027%26028.Mrs.%20Smith%27s%20Living%20Room.mp3,https://nce.mleo.site/NCE1/027%26028.Mrs.%20Smith%27s%20Living%20Room.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '027 单词/语法/文章')
15,NCE1,15,029-030,"029&030.Come In, Amy","Come In, Amy",https://nce.mleo.site/NCE1/029%26030.Come%20In%2C%20Amy.mp3,https://nce.mleo.site/NCE1/029%26030.Come%20In%2C%20Amy.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_015.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_015.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '029 单词/语法/文章')
16,NCE1,16,031-032,031&032.Where's Sally,Where's Sally,https://nce.mleo.site/NCE1/031%26032.Where%27s%20Sally.mp3,https://nce.mleo.site/NCE1/031%26032.Where%27s%20Sally.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '031 单词/语法/文章')
17,NCE1,17,033-034,033&034.A Fine Day,A Fine Day,https://nce.mleo.site/NCE1/033%26034.A%20Fine%20Day.mp3,https://nce.mleo.site/NCE1/033%26034.A%20Fine%20Day.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_017.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_017.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '033 单词/语法/文章')
18,NCE1,18,035-036,035&036.Our Village,Our Village,https://nce.mleo.site/NCE1/035%26036.Our%20Village.mp3,https://nce.mleo.site/NCE1/035%26036.Our%20Village.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '035 单词/语法/文章')
19,NCE1,19,037-038,037&038.Making a Bookcase,Making a Bookcase,https://nce.mleo.site/NCE1/037%26038.Making%20a%20Bookcase.mp3,https://nce.mleo.site/NCE1/037%26038.Making%20a%20Bookcase.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_019.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_019.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '037 单词/语法/文章')
20,NCE1,20,039-040,039&040.Don't Drop It,Don't Drop It,https://nce.mleo.site/NCE1/039%26040.Don%27t%20Drop%20It.mp3,https://nce.mleo.site/NCE1/039%26040.Don%27t%20Drop%20It.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '039 单词/语法/文章')
21,NCE1,21,041-042,041&042.Penny's Bag,Penny's Bag,https://nce.mleo.site/NCE1/041%26042.Penny%27s%20Bag.mp3,https://nce.mleo.site/NCE1/041%26042.Penny%27s%20Bag.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_021.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_021.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '041 单词/语法/文章')
22,NCE1,22,043-044,043&044.Hurry Up,Hurry Up,https://nce.mleo.site/NCE1/043%26044.Hurry%20Up.mp3,https://nce.mleo.site/NCE1/043%26044.Hurry%20Up.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '043 单词/语法/文章')
23,NCE1,23,045-046,045&046.The Boss's Letter,The Boss's Letter,https://nce.mleo.site/NCE1/045%26046.The%20Boss%27s%20Letter.mp3,https://nce.mleo.site/NCE1/045%26046.The%20Boss%27s%20Letter.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_023.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_023.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '045 单词/语法/文章')
24,NCE1,24,047-048,047&048.A Cup of Coffee,A Cup of Coffee,https://nce.mleo.site/NCE1/047%26048.A%20Cup%20of%20Coffee.mp3,https://nce.mleo.site/NCE1/047%26048.A%20Cup%20of%20Coffee.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '047 单词/语法/文章')
25,NCE1,25,049-050,049&050.At the Butcher's,At the Butcher's,https://nce.mleo.site/NCE1/049%26050.At%20the%20Butcher%27s.mp3,https://nce.mleo.site/NCE1/049%26050.At%20the%20Butcher%27s.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_025.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_025.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '049 单词/语法/文章')
26,NCE1,26,051-052,051&052.A Pleasant Climate,A Pleasant Climate,https://nce.mleo.site/NCE1/051%26052.A%20Pleasant%20Climate.mp3,https://nce.mleo.site/NCE1/051%26052.A%20Pleasant%20Climate.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '051 单词/语法/文章')
27,NCE1,27,053-054,053&054.An Interesting Climate,An Interesting Climate,https://nce.mleo.site/NCE1/053%26054.An%20Interesting%20Climate.mp3,https://nce.mleo.site/NCE1/053%26054.An%20Interesting%20Climate.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_027.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_027.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '053 单词/语法/文章')
28,NCE1,28,055-056,055&056.The Sawyer Family,The Sawyer Family,https://nce.mleo.site/NCE1/055%26056.The%20Sawyer%20Family.mp3,https://nce.mleo.site/NCE1/055%26056.The%20Sawyer%20Family.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '055 单词/语法/文章')
29,NCE1,29,057-058,057&058.An Unusual Day,An Unusual Day,https://nce.mleo.site/NCE1/057%26058.An%20Unusual%20Day.mp3,https://nce.mleo.site/NCE1/057%26058.An%20Unusual%20Day.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_029.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_029.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '057 单词/语法/文章')
30,NCE1,30,059-060,059&060.Is That All,Is That All,https://nce.mleo.site/NCE1/059%26060.Is%20That%20All.mp3,https://nce.mleo.site/NCE1/059%26060.Is%20That%20All.lrc,,,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '059 单词/语法/文章')
31,NCE1,31,061-062,061&062.A Bad Cold,A Bad Cold,https://nce.mleo.site/NCE1/061%26062.A%20Bad%20Cold.mp3,https://nce.mleo.site/NCE1/061%26062.A%20Bad%20Cold.lrc,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_031.mp3,https://85.mleo.site/NCE1/NCE1%281985%20British%20accent%29_031.lrc,https://player.bilibili.com/player.html?bvid=BV1xa411J7jJ&high_quality=1&autoplay=0,https://www.bilibili.com/video/BV1xa411J7jJ/,,,官方合集共199P; 按课号分P定位(如 '061 单词/语法/文章')
